anchor,positive
"ὃ δὲ πάλιν πρὸς αὐτόν· πυρί σε ποιήσω δαμασθῆναι, ἐὰν τῶν θηρίων καταφρονῇς, ἐὰν μὴ μετανοήσῃς.","ὁ δὲ πάλιν ἐπὶ τῷ ἀνδρὶ ἐπέβαλεν λόγον ὀξύτατον, φησὶν· «εἰ μὴ ἐπιτιμήσεις καὶ καταφρονήσεις τὰ θηρία, τὰ πρὸς ἡμᾶς ἐχθρὰ καὶ ἄγρια, καὶ μὴ μετανοήσεις περὶ τούτων ἐν καρδίᾳ βαθύτατα, ἡμᾶς οὐχ ἁπλῶς νικᾶν δυνήσονται, ἀλλὰ ἐγὼ σε πυρί, τῷ φοβερωτάτῳ καὶ ἀκαταμάχητῳ δυνάστῃ, κραταιῶς καταδυναστεύσω, ὥστε ὑποταγῆναι τῇ ἰσχύϊ καὶ τῇ ἐξουσίᾳ αὐτοῦ, καὶ μὴ πλέον ἀντιλέγειν ἢ ἀντέχειν.»"
ὁ γὰρ ἀρνούμενος ὁτιοῦν ἢ κατεγνωκὼς τοῦ πράγματος ἔξαρνος γίνεται ἢ ἑαυτὸν ἀνάξιον ἐπιστάμενος καὶ ἀλλότριον τοῦ πράγματος τὴν ὁμολογίαν φεύγει· ὧν οὐδὲν πρόσεστιν τῷ ἀληθινῷ Χριστιανῷ.,ὁ ἀρνούμενος ἢ καταγνοὺς αὑτοῦ ἄξιος οὐκ ἔστιν· ὁ δὲ ἀληθὴς Χριστιανὸς οὔτε ἀρνεῖται οὔτε φεύγει.
"τοῦτον κατέχει λόγος Χριστιανὸν ὄντα ἐν ἡμέρᾳ τῆς ὑστάτης τοῦ πάσχα παννυχίδος τῶν ἐπὶ τῆς ἐκκλησίας εὐχῶν τῷ πλήθει μετασχεῖν ἐθελῆσαι, οὐ πρότερον δὲ ὑπὸ τοῦ τηνικάδε προεστῶτος ἐπιτραπῆναι εἰσβαλεῖν, ἢ ἐξομολογήσασθαι καὶ τοῖς ἐν παραπτώμασιν ἐξεταζομένοις μετανοίας τε χώραν ἴσχουσιν ἑαυτὸν καταλέξαι· ἄλλως γὰρ μὴ ἄν ποτε πρὸς αὐτοῦ, μὴ οὐχὶ τοῦτο ποιήσαντα, διὰ πολλὰς τῶν κατ᾿ αὐτὸν αἰτίας παραδεχθῆναι.","τοῦτ’ ἔστιν, Χριστιανὸς ἐν τῇ ἡμέρᾳ τοῦ πάσχα μετανοίας ἐξομολογήσεως τε ἔχων ἔξεστιν εἰς τὴν ἐκκλησίαν εἰσβῆναι, ὑπό τινος ἀρχομένου ἐπιτραπείσης."
"ἀπὸ τούτων Μενανδριανισταὶ καὶ Μαρκιανισταὶ καὶ Καρποκρατιανοὶ καὶ Οὐαλεντινιανοὶ καὶ Βασιλειδιανοὶ καὶ Σατορνιλιανοὶ ἕκαστος ἰδίως καὶ ἑτεροίως ἰδίαν δόξαν παρεισηγάγοσαν, ἀπὸ τούτων ψευδόχριστοι, ψευδοπροφῆται, ψευδαπόστολοι, οἵτινες ἐμέρισαν τὴν ἕνωσιν τῆς ἐκκλησίας φθοριμαίοις λόγοις κατὰ τοῦ θεοῦ καὶ κατὰ τοῦ Χριστοῦ αὐτοῦ».","ἐκ τούτων αἱρέσεις ἀνέτειλαν, Μενάνδρου, Μάρκου, Καρποκράτους, Οὐαλεντίνου, Βασιλείδου, Σατορνίλου, ψευδόχριστοι καὶ ψευδαπόστολοι, οἳ τὴν ἐκκλησίαν διέσχισαν βλασφημίαις."
"ἐν νόσῳ δὲ γενόμενος, τριῶν ἑξῆς ἡμερῶν ἄφωνος καὶ ἀναίσθητος διετέλεσεν, βραχὺ δὲ ἀνασφήλας τῇ τετάρτῃ προσεκαλέσατο τὸν θυγατριδοῦν, καὶ· «μέχρι με τίνος, φησίν, ὦ τέκνον, κατέχετε;","νοσήσας δὲ τρεῖς ἡμέρας ἀφώνως, τῇ τετάρτῃ προσκαλεσάμενος τὸν ἀδελφιδοῦν, «πότε», εἶπεν, «ὦ τέκνον, ἀπολύσετέ με;»"
"ἀγανακτήσαντες δὲ οἱ ὄχλοι ἐπὶ τῷ τοὺς πρότερον ἠρνημένους αὖθις ὁμολογεῖν, κατεβόησαν τοῦ Ἀλεξάνδρου ὡς ἐκείνου τοῦτο ποιοῦντος, καὶ ἐπιστήσαντος τοῦ ἡγεμόνος καὶ ἀνετάσαντος αὐτὸν τίς εἴη, τοῦ δὲ φήσαντος ὅτι «Χριστιανός», ἐν ὀργῇ γενόμενος κατέκρινεν αὐτὸν πρὸς θηρία.",Ὄχλος ἀντέδρασε ἐπὶ τὸν Χριστιανὸν ὠμότως καὶ ἀπέστειλε πρὸς θηρίαν.
"τίς αἰῶσιν ὅλοις ὑπὸ πάντων πολεμούμενος τὴν ὑπὲρ ἄνθρωπον ἀρετὴν ἐπεδείξατο, ὡς ἀνθεῖν ὁσημέραι καὶ νεάζειν διὰ παντὸς τοῦ βίου;","τίς πάσαις γενεαῖς διωκόμενος, ὑπὲρ ἄνθρωπον ἀρετὴν ἔδειξεν, ἀεὶ νέος καὶ θαλλόμενος;"
"καὶ δὴ τὴν δι᾿ Ἀσίας ἀνακομιδὴν μετ᾿ ἐπιμελεστάτης φρουρῶν φυλακῆς ποιούμενος, τὰς κατὰ πόλιν αἷς ἐπεδήμει, παροικίας ταῖς διὰ λόγων ὁμιλίαις τε καὶ προτροπαῖς ἐπιρρωννύς, ἐν πρώτοις μάλιστα προφυλάττεσθαι τὰς αἱρέσεις ἄρτι τότε πρῶτον ἐπιπολαζούσας παρῄνει προύτρεπέν τε ἀπρὶξ ἔχεσθαι τῆς τῶν ἀποστόλων παραδόσεως, ἢν ὑπὲρ ἀσφαλείας καὶ ἐγγράφως ἤδη μαρτυρόμενος διατυποῦσθαι ἀναγκαῖον ἡγεῖτο.","Ἀσίαν διαπερῶν, μετὰ φρουρῶν προσηγορημένων, τὰς αἱρέσεις νεωστί ἐμφανισθεῖσας ἐπαύξαι καὶ τὴν ἀποστολικὴν παράδοσιν φυλάττειν προέτρεπε."
"ὄντως γὰρ δόγματα περὶ τούτου γέγονεν ἐν ταῖς μεγίσταις τῶν ἐπισκόπων συνόδοις, ὡς πυνθάνομαι, ὥστε τοὺς προσιόντας ἀπὸ αἱρέσεων προκατηχηθέντας εἶτα ἀπολούεσθαι καὶ ἀνακαθαίρεσθαι τὸν τῆς παλαιᾶς καὶ ἀκαθάρτου ζύμης ῥύπον.","ἐν γὰρ ταῖς μεγάλαις συνόδοις ἐψηφίσθη, ὡς λέγεται, τοὺς ἐξ αἱρέσεων ἐλθόντας βαπτίζεσθαι πάλιν, ἵνα ὁ παλαιὸς μόλυσμος ἀπονιψάμενοι καθαροὶ γένωνται."
"οὐ μὴν εἴασεν αὐτοὺς τῆς ἀφροσύνης ὀνάσθαι Φάδος, ἀλλ᾿ ἐξέπεμψεν ἴλην ἱππέων ἐπ᾿ αὐτούς, ἥτις ἐπιπεσοῦσα ἀπροσδοκήτως αὐτοῖς, πολλοὺς μὲν ἀνεῖλεν, πολλοὺς δὲ ζῶντας ἔλαβεν, αὐτόν τε τὸν Θευδᾶν ζωγρήσαντες ἀποτέμνουσιν τὴν κεφαλὴν καὶ κομίζουσιν εἰς Ἱεροσόλυμα».","Φάδος ἦν ἀφρόντιος, ἀλλὰ ἃ μέλλε ἐπελθεῖν τὴν ἀφροσύνην αὐτοῦ ἐτέλεσεν· ἀπέπεμψαν γὰρ ἵππους πολλούς ἐπ’ αὐτούς, οἳ πολλοὺς ἀπέκτειναν καὶ πολλοὺς αἰχμαλώτους ἔλαβον· καὶ τὴν τοῦ Θευδᾶν ζωήν ἐτέλεσεν ἡ ἀρχὴ, ὃς ἀπεκεφαλίσθη, καὶ ἡ κεφαλὴ αὐτοῦ ἐκομίσθη εἰς τὴν πόλιν Ἱεροσόλυμα."
"ὁ δ᾿ αὐτὸς καὶ τῶν κατ᾿ αὐτὸν αἱρέσεων τὰς ἀρχὰς ὑποτίθεται διὰ τούτων· «καὶ μετὰ τὸ μαρτυρῆσαι Ἰάκωβον τὸν δίκαιον, ὡς καὶ ὁ κύριος, ἐπὶ τῷ αὐτῷ λόγῳ, πάλιν ὁ ἐκ θείου αὐτοῦ Συμεὼν ὁ τοῦ Κλωπᾶ καθίσταται ἐπίσκοπος, ὃν προέθεντο πάντες, ὄντα ἀνεψιὸν τοῦ κυρίου δεύτερον.","ὁ δὲ αὐτὸς καὶ τὰς τῶν αἱρέσεων ἀρχὰς διὰ τούτων ἐμφαίνει· «μετὰ γὰρ τὸ μαρτύριον Ἰακώβου τοῦ δικαίου, ὡς καὶ ὁ κύριος, Συμεὼν ὁ τοῦ Κλωπᾶ, ἀνεψιὸς ὢν τοῦ κυρίου, ὑπὸ πάντων ἐξελέγη ἐπίσκοπος.»"
"ἦλθον δ᾿ οὖν εἰς ἡμᾶς ἐπιστολαὶ Κορνηλίου Ῥωμαίων ἐπισκόπου πρὸς τὸν τῆς Ἀντιοχέων ἐκκλησίας Φάβιον, δηλοῦσαι τὰ περὶ τῆς Ῥωμαίων συνόδου καὶ τὰ δόξαντα τοῖς κατὰ τὴν Ἰταλίαν καὶ Ἀφρικὴν καὶ τὰς αὐτόθι χώρας, καὶ ἄλλαι πάλιν, Ῥωμαϊκῇ φωνῇ συντεταγμέναι, Κυπριανοῦ καὶ τῶν ἅμ᾿ αὐτῷ κατὰ τὴν Ἀφρικήν, δι᾿ ὧν τὸ καὶ αὐτοὺς συνευδοκεῖν τῷ δεῖν τυγχάνειν ἐπικουρίας τοὺς πεπειρασμένους ἐνεφαίνετο καὶ τῷ χρῆναι εὐλόγως τῆς καθολικῆς ἐκκλησίας ἐκκήρυκτον ποιήσασθαι τὸν τῆς αἱρέσεως ἀρχηγὸν πάντας τε ὁμοίως τοὺς συναπαγομένους αὐτῷ.","Ἐλθόντες ἐπιστολαὶ Κορνηλίου πρὸς Φάβιον ἐδήλουσαν περὶ τῆς Ῥωμαίων συνόδου καὶ τῶν ἐν Ἰταλίᾳ καὶ Ἀφρικῇ γεγονότων, ἐκ τῆς Κυπριανοῦ καὶ τῶν ὁμοῦ αὐτῷ ἀφικνομένων, ὡς δεῖ τῆς καθολικῆς ἐκκλησίας ἀντιτάξασθαι τῷ ἀρχηγῷ τῆς αἱρέσεως."
"προσαχθέντος οὖν αὐτοῦ, θόρυβος ἦν μέγας ἀκουσάντων ὅτι Πολύκαρπος συνείληπται.","ὡς δὲ προσήχθη, πολὺς θόρυβος ἐγένετο ἀκουσάντων ὅτι Πολύκαρπος ἥλω."
"θύειν δὴ οὖν προσταχθείς, ὡς ἐνίστατο, γυμνὸς μετάρσιος ἀρθῆναι κελεύεται μάστιξίν τε τὸ πᾶν σῶμα καταξαίνεσθαι, εἰς ὅτε ἡττηθεὶς κἂν ἄκων τὸ προσταττόμενον ποιήσειεν.","κελευσθεὶς θῦσαι καὶ ἀπειθήσας, γυμνὸς μετεωρισθεὶς ἐμαστιγοῦτο, ἕως ἂν ἢ βιασθεὶς πείθοιτο."
"καὶ ταῦτα μὲν ὡδὶ ἐχέτω· τῶν δ᾿ ἀμφὶ τὸν Μοντανὸν καὶ Ἀλκιβιάδην καὶ Θεόδοτον περὶ τὴν Φρυγίαν ἄρτι τότε πρῶτον τὴν περὶ τοῦ προφητεύειν ὑπόληψιν παρὰ πολλοῖς ἐκφερομένων (πλεῖσται γὰρ οὖν καὶ ἄλλαι παραδοξοποιίαι τοῦ θείου χαρίσματος εἰς ἔτι τότε κατὰ διαφόρους ἐκκλησίας ἐκτελούμεναι πίστιν παρὰ πολλοῖς τοῦ κἀκείνους προφητεύειν παρεῖχον) καὶ δὴ διαφωνίας ὑπαρχούσης περὶ τῶν δεδηλωμένων, αὖθις οἱ κατὰ τὴν Γαλλίαν ἀδελφοὶ τὴν ἰδίαν κρίσιν καὶ περὶ τούτων εὐλαβῆ καὶ ὀρθοδοξοτάτην ὑποτάττουσιν, ἐκθέμενοι καὶ τῶν παρ᾿ αὐτοῖς τελειωθέντων μαρτύρων διαφόρους ἐπιστολάς, ἃς ἐν δεσμοῖς ἔτι ὑπάρχοντες τοῖς ἐπ᾿ Ἀσίας καὶ Φρυγίας ἀδελφοῖς διεχάραξαν, οὐ μὴν ἀλλὰ καὶ Ἐλευθέρῳ τῷ τότε Ῥωμαίων ἐπισκόπῳ, τῆς τῶν ἐκκλησιῶν εἰρήνης ἕνεκα πρεσβεύοντες.","περὶ δὲ Μοντανοῦ καὶ τῶν σὺν αὐτῷ ἐν Φρυγίᾳ τότε πρῶτον ἡ περὶ προφητείας δόξα ἐξέλαμψεν· ὧν οἱ ἐν Γαλατίᾳ ἀδελφοὶ εὐλαβῶς κρίναντες, ἐπιστολὰς ἔγραψαν τοῖς ἐν Ἀσίᾳ καὶ Φρυγίᾳ, καὶ Ἐλευθέρῳ τῷ Ῥωμαίων ἐπισκόπῳ, εἰρήνης χάριν."
"τούτοις δ᾿ ὁ εὐαγγελιστὴς ἐπιφέρει λέγων· «ἀκούσας δὲ ὅτι Ἀρχέλαος βασιλεύει ἀντὶ Ἡρῴδου τοῦ πατρὸς αὐτοῦ, ἐφοβήθη ἐκεῖ ἀπελθεῖν· χρηματισθεὶς δὲ κατ᾿ ὄναρ ἀνεχώρησεν εἰς τὰ μέρη τῆς Γαλιλαίας».","προστίθησιν ὁ εὐαγγελιστής· «φοβηθεὶς δὲ τὸν Ἀρχέλαον, κατ᾿ ὄναρ χρηματισθεὶς εἰς Γαλιλαίαν ἀνεχώρησεν.»"
"θαυμασταὶ μὲν οὖν καὶ αὗται, ὑπερφυῶς γε μὴν θαυμασιωτάτη ἡ ἐπὶ Ῥώμης εὐγενεστάτη τῷ ὄντι καὶ σωφρονεστάτη γυνὴ πασῶν αἷς ἐμπαροινεῖν ὁ ἐκεῖσε τύραννος Μαξέντιος, τὰ ὅμοια Μαξιμίνῳ δρῶν, ἐπειρᾶτο.","Ἦ δὴ θαυμασταὶ μὲν ἔασι καὶ ἄλλαι ἀνθρώπων πρῆξιες, αἳ θνητοῖσιν ἐνὶ φρεσὶ θάμβος ἔγειρον· ἀλλ' οὐδὲν τόσσον τετυγμένον ἐστὶν ἀέθλων, ὅσσον Ῥωμαίης ἀλόχου περικαλλέος ἔργον, εὐπατέρειαν ἔχουσα, νόῳ δ' ἀριδείκετος ἀνδρῶν. τὴν δὲ κακὸς Μαξέντιος, ὃς τότε χεῖρας ἀάπτους ἔσχεν ἐν ἀνθρώποις, ὡς δὴ τυραννίδα θείνων, ἤθελε δμηθῆναι· ἀτὰρ θεόθεν κρατερὴ νὺξ θάρσος ἐνὶ στήθεσσι θέτο, λυγρὰ πάσχειν ἀνέτλη. ὣς ἡ μὲν κλέος ἄφθιτον ἔσχεν, ἀπὸ δ' αἰῶνος οὐδ' ὁ γέρων χρόνος ἴσχει ἀμαυρώσασθαι ἀρετάς, ἀλλ' αἰὲν μεγάλας τε καὶ ἠύτε δένδρεον ὕψει."
"Ἐπεὶ δὲ καὶ τῶν ἔξωθεν μαθημάτων ἕνεκα πολλοῦ λόγου ἄξιον γενέσθαι τὸν Φιλέαν ἔφαμεν, αὐτὸς ἑαυτοῦ παρίτω μάρτυς, ἅμα μὲν ἑαυτὸν ὅστις ποτ᾿ ἦν, ἐπιδείξων, ἅμα δὲ καὶ τὰ κατ᾿ αὐτὸν ἐν τῇ Ἀλεξανδρείᾳ συμβεβηκότα μαρτύρια ἀκριβέστερον μᾶλλον ἢ ἡμεῖς ἱστορήσων διὰ τούτων τῶν λέξεων· ΑΠΟ ΤΩΝ ΦΙΛΕΟΥ ΠΡΟΣ ΘΜΟΥΙΤΑΣ ΓΡΑΜΜΑΤΩΝ «τούτων ἁπάντων ὑποδειγμάτων ἡμῖν καὶ ὑπογραμμῶν καὶ καλῶν γνωρισμάτων ἐν ταῖς θείαις καὶ ἱεραῖς γραφαῖς κειμένων, οὐδὲν μελλήσαντες οἱ μακάριοι σὺν ἡμῖν μάρτυρες, τὸ τῆς ψυχῆς ὄμμα πρὸς τὸν ἐπὶ πάντων θεὸν καθαρῶς τείναντες καὶ τὸν ἐπ᾿ εὐσεβείᾳ θάνατον ἐν νῷ λαβόντες, ἀπρὶξ τῆς κλήσεως εἴχοντο, τὸν μὲν κύριον ἡμῶν Ἰησοῦν Χριστὸν εὑρόντες ἐνανθρωπήσαντα δι᾿ ἡμᾶς, ἵνα πᾶσαν μὲν ἁμαρτίαν ἐκκόψῃ, ἐφόδια δὲ τῆς εἰς τὴν αἰώνιον ζωὴν εἰσόδου ἡμῖν κατάθηται· οὐ γὰρ ἁρπαγμὸν ἡγήσατο τὸ εἶναι ἴσα θεῷ, ἀλλ᾿ ἑαυτὸν ἐκένωσεν μορφὴν δούλου λαβών, καὶ σχήματι εὑρεθεὶς ὡς ἄνθρωπος ἑαυτὸν ἐταπείνωσεν ἕως θανάτου, θανάτου δὲ σταυροῦ.","Φιλέας δὲ, ἐπεὶ καὶ ἐγκύκλια ἐπαιδεύθη, αὐτὸς ἑαυτοῦ μάρτυς ἔστω· γράφει γὰρ πρὸς Θμουίτας· «οἱ μάκαρες μάρτυρες, θεωρήσαντες ἐν ταῖς γραφαῖς τὸν κύριον ἡμῶν Ἰησοῦν Χριστὸν δι᾿ ἡμᾶς ἐνανθρωπήσαντα, ἵνα τὰς ἁμαρτίας ἐξέλῃ καὶ ζωὴν αἰώνιον παραστήσῃ (ὃς μορφὴν δούλου λαβὼν ἑαυτὸν ἐταπείνωσεν μέχρι θανάτου, θανάτου δὲ σταυροῦ), ἀπροφασίστως τὴν κλῆσιν ἐδέξαντο.»"
"καὶ ὅσοι τῆς τυφλῆς ἐκείνης πλάνης καὶ περιόδου παντάπασιν ὠφεληθέντες εἰς ὀρθὴν καὶ καλλίστην διάνοιαν ἐπανῆλθον, μειζόνως μὲν οὖν χαιρέτωσαν ὡς ἂν ἐκ χειμῶνος ἀπροσδοκήτου ἢ νόσου βαρείας ἀποσπασθέντες καὶ ἡδεῖαν εἰς τοὐπιὸν ζωῆς ἀπόλαυσιν καρπωσάμενοι· εἰ δὲ τῇ ἐπαράτῳ αὐτῶν ματαιότητι ἐπιμένοιεν, πολλῷ πόρρωθεν τῆς ὑμετέρας πόλεως καὶ περιχώρου, καθὼς ἠξιώσατε, ἀποχωρισθέντες ἐξελαθήτωσαν, ἵν᾿ οὕτως κατ᾿ ἀκολουθίαν τῆς ἀξιεπαίνου ὑμῶν περὶ τοῦτο σπουδῆς παντὸς μιάσματος καὶ ἀσεβείας ἀποχωρισθεῖσα ἡ ὑμετέρα πόλις καὶ τὴν ἔμφυτον αὐτῇ πρόθεσιν μετὰ τοῦ ὀφειλομένου σεβάσματος ταῖς τῶν ἀθανάτων θεῶν ἱερουργίαις ὑπακούοι.","οἱ ἐπανελθόντες ἐκ τῆς πλάνης χαίρουσιν, οἱ δὲ ἐπιμένωντες ἀπέχονται μακρὰν τῆς πόλεως καὶ τῆς θείας σεβασμοῦ."
"ἡ θειότης ὑμᾶς τοῦ μεγάλου θεοῦ διαφυλάξει πολλοῖς ἔτεσι, τιμιώτατε.","ὁ μέγας θεὸς ὑμᾶς διαφυλάξοι, τιμιώτατε."
